rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"matchList(landtype,{'SO','SD','WW','FL','CL','WF','PL','RN','RD','RR','AG','EP','UR','AL','BO'})",NA,Translate only rows where landtype has an nfl value, TRUE
1,CAS_ID,text,notEmpty(inventory_id);notNull(map_sheet_id);notNull(orig_stand_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,VRAI
2,SOIL_MOIST_REG,text,false(|UNKNOWN_VALUE),nothingText(),Attribute does not occur,VRAI
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,VRAI
4,LAYER,integer,false(),nothingInt(),Counts number of layers based on the presence of a not null value for attributes representing each layer. Custom function decides if NFL layer is present based on rules in NFL table.,VRAI
5,LAYER_RANK,integer,false(|-8887),nothingInt(),Attribute does not occur,VRAI
6,CROWN_CLOSURE_UPPER,integer,false(),nothingInt(),Attribute does not occur,VRAI
7,CROWN_CLOSURE_LOWER,integer,false(),nothingInt(),Attribute does not occur,VRAI
8,HEIGHT_UPPER,double precision,false(),nothingDouble(),Attribute does not occur,VRAI
9,HEIGHT_LOWER,double precision,false(),nothingDouble(),Attribute does not occur,VRAI
10,NAT_NON_VEG,text,"notNull(productivity);matchList(productivity,{'802','803','804','838','839','848','900','901','991','992','993','994','995'}|NOT_APPLICABLE)","mapText(productivity, {'802','803','804','838','839','848','900','901','991','992','993','994','995'}, {'ROCK_RUBBLE','ROCK_RUBBLE','EXPOSED_LAND','SAND','BEACH','FLOOD','LAKE','RIVER','LAKE','LAKE','LAKE','RIVER','RIVER'})",Maps source value to NAT_NON_VEG using list of values.,VRAI
11,NON_FOR_ANTH,text,"notNull(productivity);matchList(productivity,{'810','811','812','813','815','816','840','841','842',843',844','845','846','847','849','851'}|NOT_APPLICABLE)","mapText(productivity, {'810','811','812','813','815','816','841','842',843',844','845','846','847','849','851'}, {'CULTIVATED','CULTIVATED','CULTIVATED','CULTIVATED','CULTIVATED','SETTLEMENT','FACILITY_INFRASTRUCTURE','FACILITY_INFRASTRUCTURE','FACILITY_INFRASTRUCTURE','INDUSTRIAL','CULTIVATED','FACILITY_INFRASTRUCTURE','BORROW_PIT','FACILITY_INFRASTRUCTURE'})",Maps source value to NON_FOR_ANTH using list of values.,VRAI
12,NON_FOR_VEG,text,"notNull(productivity);matchList(productivity,{'801','821','822','823','824','830','831','832','835'}|NOT_APPLICABLE)","mapText(productivity,{'801','821','822','823','824','830','831','832','835'}, {'BARREN_TUNDRA','GRAMINOIDS','GRAMINOIDS','GRAMINOIDS','GRAMINOIDS','OPEN_MUSKEG','OPEN_MUSKEG','OPEN_MUSKEG','GRAMINOIDS'})",Maps source value to NON_FOR_VEG using list of values.,VRAI
