rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"matchTable(species_1, 'translation', 'species_code_mapping', 'pe_species_codes', TRUE);matchTable(species_2, 'translation', 'species_code_mapping', 'pe_species_codes', TRUE);matchTable(species_3, 'translation', 'species_code_mapping', 'pe_species_codes', TRUE);matchTable(species_4, 'translation', 'species_code_mapping', 'pe_species_codes', TRUE);matchTable(species_5, 'translation', 'species_code_mapping', 'pe_species_codes', TRUE)",NA,"Translate only rows with at least one valid species value. Some landtype codes are stored in spec1, these will return UNKNOWN_VALUE, in some cases these will be reported in the NFL table. ",TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,false(|UNKNOWN_VALUE),nothingText(),Attribute does not occur,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,STRUCTURE_RANGE,double precision,false(),nothingDouble(),No complex structure,TRUE
5,LAYER,integer,true(),"pe_pei01_countOfNotNull(species_1, species_2, species_3, species_4, species_5, landuse, subuse, class1, layer)",Counts number of layers based on the presence of a not null value for attributes representing each layer. Custom function decides if NFL layer is present based on rules in NFL table. Identifies if species are present by checking the values against the valid species codes in the lookup table.,TRUE
6,LAYER_RANK,integer,false(),nothingInt(),Attribute does not occur,TRUE
7,CROWN_CLOSURE_UPPER,integer,"notNull(crown_closure_upper);notEmpty(crown_closure_upper|-8888);matchList(crown_closure_upper,{'J','I','H','G','F','E','D','C','B','A'}|-9997)","mapInt(crown_closure_upper, {'J','I','H','G','F','E','D','C','B','A'}, {10,20,30,40,50,60,70,80,90,100})",Maps source value to CROWN_CLOSURE_UPPER using lists of values.,TRUE
8,CROWN_CLOSURE_LOWER,integer,"notNull(crown_closure_upper);notEmpty(crown_closure_upper|-8888);matchList(crown_closure_upper,{'J','I','H','G','F','E','D','C','B','A'}|-9997)","mapInt(crown_closure_upper, {'J','I','H','G','F','E','D','C','B','A'}, {1,11,21,31,41,51,61,71,81,91})",Maps source value to CROWN_CLOSURE_LOWER using lists of values.,TRUE
9,HEIGHT_UPPER,double precision,"notNull(height_upper);isNumeric(height_upper);isGreaterThan(height_upper, 0, FALSE|-9999);isBetween(height_upper,0,100)",copyDouble(height_upper),Copies source value to HEIGHT_UPPER,TRUE
10,HEIGHT_LOWER,double precision,"notNull(height_lower);isNumeric(height_lower);isGreaterThan(height_lower, 0, FALSE|-9999);isBetween(height_lower,0,100)",copyDouble(height_lower),Copies source value to HEIGHT_LOWER,TRUE
11,PRODUCTIVITY,text,false(),nothingText(),Attribute does not occur,TRUE
12,PRODUCTIVITY_TYPE,text,false(),nothingText(),Attribute does not occur,TRUE
