rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(poly_id);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', poly_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,FALSE
2,SOIL_MOIST_REG,text,"notNull(cl_drai);matchList(cl_dra,{'00','10','11','12','13','14','20','21','22','23','24','30','31','32','33','34','40','41','42','43','44','50','51','52','53','54','60','61','62','63','64','16'})
","mapText(cl_drai, {'00','10','11','12','13','14','20','21','22','23','24','30','31','32','33','34','40','41','42','43','44','50','51','52','53','54','60','61','62','63','64','16'}, {'D','D','D','D','D','D','F','F','F','F','F','F','F','F','F','F','M','M','M','M','M','W','W','W','W','W','A','A','A','A','A','UNUSED_VALUE'})",Attribute does not occur,FALSE
3,STRUCTURE_PER,integer,false(),nothingInt(),Copies NULL integer code to STRUCTURE_PER,FALSE
4,LAYER,integer,true(),copyInt(1),Copies 1 to LAYER,FALSE
5,LAYER_RANK,integer,true(),copyInt(1),Copies 1 to LAYER_ID,FALSE
6,CROWN_CLOSURE_UPPER,integer,"notNull(cl_dens);isNumeric(cl_dens);matchList(cl_dens,{A,B,C,D})","mapInt(cl_dens, {A,B,C,D}, {40,60,80,100})",Maps source value to CROWN_CLOSURE_UPPER using lists of values,FALSE
7,CROWN_CLOSURE_LOWER,integer,"notNull(cl_dens);isNumeric(cl_dens);matchList(cl_dens,{A,B,C,D})","mapInt(cl_dens, {A,B,C,D}, {25,40,60,80})",Maps source value to CROWN_CLOSURE_LOWER using lists of values,FALSE
8,HEIGHT_UPPER,double precision,"notNull(cl_haut);isNumeric(cl_haut);matchList(cl_haut,{1,2,3,4,5,6,7})","mapInt(cl_haut, {1,2,3,4,5,6,7}, {4,7,12,17,22,100})",Copies source value to HEIGHT_UPPER,FALSE
9,HEIGHT_LOWER,double precision,"notNull(cl_haut);isNumeric(cl_haut);matchList(cl_haut,{1,2,3,4,5,6,7})","mapInt(cl_haut, {1,2,3,4,5,6,7}, {0,4,7,12,17,22})",Copies source value to HEIGHT_LOWER,FALSE
10,PRODUCTIVE_FOR,text,false(),nothingText(),Correct translation has not been determined.,FALSE
11,SPECIES_1,text,,,Maps source value to SPECIES_1 using lookup table,FALSE
12,SPECIES_PER_1,integer,,,Copies source value to SPECIES_PER_1,FALSE
13,SPECIES_2,text,,,Maps source value to SPECIES_2 using lookup table,FALSE
14,SPECIES_PER_2,integer,,,Copies source value to SPECIES_PER_2,FALSE
15,SPECIES_3,text,,,Maps source value to SPECIES_3 using lookup table,FALSE
16,SPECIES_PER_3,integer,,,Copies source value to SPECIES_PER_3,FALSE
17,SPECIES_4,text,false(),nothingText(),attribute does not occur,FALSE
18,SPECIES_PER_4,integer,false(),nothingInt(),attribute does not occur,FALSE
19,SPECIES_5,text,false(),nothingText(),attribute does not occur,FALSE
20,SPECIES_PER_5,integer,false(),nothingInt(),attribute does not occur,FALSE
21,SPECIES_6,text,false(),nothingText(),attribute does not occur,FALSE
22,SPECIES_PER_6,integer,false(),nothingInt(),attribute does not occur,FALSE
23,SPECIES_7,text,false(),nothingText(),attribute does not occur,FALSE
24,SPECIES_PER_7,integer,false(),nothingInt(),attribute does not occur,FALSE
25,SPECIES_8,text,false(),nothingText(),attribute does not occur,FALSE
26,SPECIES_PER_8,integer,false(),nothingInt(),attribute does not occur,FALSE
27,SPECIES_9,text,false(),nothingText(),attribute does not occur,FALSE
28,SPECIES_PER_9,integer,false(),nothingInt(),attribute does not occur,FALSE
29,SPECIES_10,text,false(),nothingText(),attribute does not occur,FALSE
30,SPECIES_PER_10,integer,false(),nothingInt(),attribute does not occur,FALSE
31,ORIGIN_UPPER,integer,,,Copies (l1estyr) to ORIGIN_UPPER,FALSE
32,ORIGIN_LOWER,integer,,,Copies (l1estyr) to ORIGIN_LOWER,FALSE
33,SITE_CLASS,text,false(),nothingText(),Attribute does not occur,FALSE
34,SITE_INDEX,double precision,false(),nothingDouble(),attribute does not occur,FALSE
